date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-05-02,824771,670623,Isaac Paredes,HOU,BOS,A,3,True,,4.4,R,L,1,1,1,0,0.7560975609756098,1,0.4166666666666667,2.0,0,2,-310,Isaac Paredes,draftkings,-190,142,2026-05-02T18:08:07.927482+00:00,0.1540436456996148,True,4:10 PM ET,hit,1,0.5263157894736842,1.0526315789473684
2026-05-02,823876,656941,Kyle Schwarber,PHI,MIA,A,2,True,,4.5,L,R,1,1,1,0,0.7565938206480783,1,0.3333333333333333,2.0,0,2,-311,Kyle Schwarber,draftkings,-199,149,2026-05-02T18:08:07.927482+00:00,0.1367917204712332,True,4:10 PM ET,miss,0,-1.0,-2.0
2026-05-02,823876,666969,Adolis García,PHI,MIA,A,4,True,,4.3,R,R,0,1,1,0,0.75639046209475,0,0.24,1.0,0,2,-310,Adolis Garcia,draftkings,-203,152,2026-05-02T18:08:07.927482+00:00,0.128996601057681,True,4:10 PM ET,miss,0,-1.0,-1.0
2026-05-02,823876,681082,Bryson Stott,PHI,MIA,A,5,True,,4.2,L,R,1,1,1,0,0.7560975609756098,0,0.2105263157894736,1.0,0,2,-310,Bryson Stott,draftkings,-205,153,2026-05-02T18:08:07.927482+00:00,0.1249256395002974,True,4:10 PM ET,miss,0,-1.0,-1.0
2026-05-02,824771,572233,Christian Walker,HOU,BOS,A,4,True,,4.3,R,L,1,1,1,0,0.7475728155339806,1,0.375,2.0,0,2,-296,Christian Walker,draftkings,-200,149,2026-05-02T18:08:07.927482+00:00,0.1213592233009708,True,4:10 PM ET,hit,3,0.5,1.0
2026-05-02,822988,680700,Richie Palacios,TB,SF,H,6,True,,4.05,L,R,1,1,1,0,0.7565938206480783,0,0.0625,1.0,0,3,-311,Richie Palacios,draftkings,-125,-106,2026-05-02T22:03:20.064485+00:00,0.361868877166541,True,6:10 PM ET,miss,0,-1.0,-1.0
2026-05-02,822988,646240,Rafael Devers,SF,TB,A,4,True,,4.3,L,R,1,1,1,0,0.8075040783034257,0,0.15,1.0,0,2,-419,Rafael Devers,draftkings,-174,131,2026-05-02T22:03:20.064485+00:00,0.2715868819260842,True,6:10 PM ET,hit,1,0.5747126436781609,0.5747126436781609
2026-05-02,822988,656305,Matt Chapman,SF,TB,A,5,True,,4.2,R,R,0,1,1,0,0.7560975609756098,0,0.15,1.0,0,2,-310,Matt Chapman,draftkings,-151,114,2026-05-02T22:03:20.064485+00:00,0.2568244225488613,True,6:10 PM ET,miss,0,-1.0,-1.0
2026-05-02,822988,669477,Casey Schmitt,SF,TB,A,3,True,,4.4,R,R,0,1,1,0,0.8075040783034257,1,0.3809523809523809,2.0,0,2,-419,Casey Schmitt,draftkings,-192,143,2026-05-02T22:03:20.064485+00:00,0.22807911908646,True,6:10 PM ET,hit,1,0.5208333333333334,1.0416666666666667
2026-05-02,822988,666018,Jonathan Aranda,TB,SF,H,4,True,,4.25,L,R,1,1,1,0,0.7565938206480783,0,0.1428571428571428,1.0,0,3,-311,Jonathan Aranda,draftkings,-164,123,2026-05-02T22:03:20.064485+00:00,0.2179315161651993,True,6:10 PM ET,hit,2,0.6097560975609756,0.6097560975609756
